Position,Track Name,Artist,Streams,URL
160,Happier,Marshmello,251871,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
161,P*$$Y Fairy (OTW),Jhené Aiko,251140,https://open.spotify.com/track/48KXAIruJ07kJVCWOGohMV
162,The Less I Know The Better,Tame Impala,249519,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
163,Moonlight,XXXTENTACION,248060,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
164,Lose Control,MEDUZA,245020,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
165,thank u; next,Ariana Grande,244757,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
166,Mahogany,Lil Wayne,243582,https://open.spotify.com/track/5f9JYuHSIHjp6rggue13RS
167,Bruises,Lewis Capaldi,243561,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
168,Revenge,Joyner Lucas,243454,https://open.spotify.com/track/43mwjiAXLMqkOv4vtlNweU
169,Ransom (with Juice WRLD) - Remix,Lil Tecca,242979,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp
170,Pure Water (with Migos),Mustard,242489,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
171,I Hope,Gabby Barrett,242449,https://open.spotify.com/track/2Hc4t9N2nt37oO4sF9BynI
172,Lover,Taylor Swift,241654,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
173,Let Me Know (I Wonder Why Freestyle),Juice WRLD,240247,https://open.spotify.com/track/3wwo0bJvDSorOpNfzEkfXx
174,No Role Modelz,J. Cole,239729,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
175,Say You Won't Let Go,James Arthur,238971,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
176,all the good girls go to hell,Billie Eilish,238593,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
177,you should see me in a crown,Billie Eilish,237929,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
178,20 Min,Lil Uzi Vert,237794,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
179,Envy Me,Calboy,236534,https://open.spotify.com/track/7rvyVWja33WG9R97oeJAjx
180,Ayy Macarena,Tyga,236344,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
181,Come Thru (with Usher),Summer Walker,235456,https://open.spotify.com/track/3TTMUI5dFcbeNSDTTDY9M8
182,I Like Me Better,Lauv,235367,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
183,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song],Shakira,234637,https://open.spotify.com/track/2Cd9iWfcOpGDHLz6tVA3G4
184,LA CANCIÓN,J Balvin,233683,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
185,Panini - DaBaby Remix,Lil Nas X,231509,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD
186,Faucet Failure,Ski Mask The Slump God,230952,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
187,Congratulations,Post Malone,230435,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
188,Baguettes in the Face (feat. NAV; Playboi Carti & A Boogie Wit da Hoodie),Mustard,229848,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
189,UP THE SMOKE (with Offset),Stunna 4 Vegas,229827,https://open.spotify.com/track/3faAAUxohrxqYhPlneZ3XV
190,a lot,21 Savage,229374,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
191,Tequila,Dan + Shay,229238,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
192,you were good to me,Jeremy Zucker,228622,https://open.spotify.com/track/4CxFN5zON70B3VOPBYbd6P
193,Lottery (Renegade),K CAMP,228347,https://open.spotify.com/track/4dZTZbmJBCCofAExHwefda
194,Get You The Moon (feat. Snøw),Kina,227590,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
195,HUMBLE.,Kendrick Lamar,227370,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
196,changes,XXXTENTACION,226815,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
197,Noticed,Lil Mosey,225722,https://open.spotify.com/track/7zLYKWcXnYeHHWidalz7rj
198,Hop Off A Jet (feat. Travis Scott),Young Thug,225557,https://open.spotify.com/track/3RZftiuTcLOqpsd8ZlwNhr
199,Hot Shower,Chance the Rapper,225354,https://open.spotify.com/track/00ko9WaS4jOX1kEk3gvHjf
200,Those Kinda Nights (feat. Ed Sheeran),Eminem,224987,https://open.spotify.com/track/0VSzREd1OjEWJ9tXoFHRQH
